193,Yangon,0,2,RGN,0.00
194,Atlanta,0,2,NULL,0.00
195,Sana'a,0,2,SAH,0.00
196,Doha,0,2,DOH,0.00
197,Chennai (Madras),0,2,MAA,0.00
198,Charlotte,0,2,CLT,0.00
199,Plymouth,1,2,PLH,0.00
200,Langkawi,0,2,LGK,0.00
201,Madras,0,2,NULL,0.00
202,Tangier,0,2,TNG,0.00
203,Nelspruit,0,2,NULL,0.00
204,Praslin,0,2,NULL,0.00
305,Mfuwe,0,2,MFU,0.00
306,JFK,0,1,JFK,0.00
310,Bulawayo,0,2,NULL,0.00
311,Copenhagen,0,3,CPH,0.00
315,Mombassa,0,3,NULL,0.00
316,Delhi,0,3,DEL,0.00
321,Seville,0,1,SVQ,0.00
322,London Heathrow,1,3,LHR,0.00
326,,0,1,NULL,0.00
327,Miami,0,3,MIA,0.00
331,Khovd,0,1,NULL,0.00
332,Quito,0,3,UIO,0.00
336,Glasgow,1,3,GLA,0.00
337,Kariba,0,2,KAB,0.00
341,Amman,0,1,AMM,0.00
342,Malindi,0,2,NULL,0.00
346,Berlin Tegel,0,3,TXL,0.00
347,Johannesburg,0,3,JNB,0.00
351,Ulaanbaatar,0,3,ULN,0.00
352,Leeds Bradford,1,3,LBA,0.00
356,Moscow,0,3,NULL,0.00
357,Skukuza,0,3,NULL,0.00
361,Khovd,0,3,NULL,0.00
362,George,0,3,GRJ,0.00
366,Singapore,0,3,SIN,0.00
367,Skukuza,0,2,NULL,0.00
371,Jakarta,0,3,CGK,0.00
372,Hoedspruit,0,2,HDS,0.00
376,Solo,0,3,NULL,0.00
377,Richards Bay,0,2,RCB,0.00
381,Denpasar,0,3,DPS,0.00
382,Sun City,0,2,NULL,0.00
386,Baltra, Galapagos,0,3,NULL,0.00
387,Jersey,1,2,JER,0.00
391,Lima,0,3,LIM,0.00
392,Phalaborwa,0,2,NULL,0.00
396,Leeds Bradford,0,3,LBA,0.00
397,Phalaborwa,0,2,NULL,0.00
401,Amsterdam,0,3,AMS,0.00
402,Livingstone,0,2,LVI,0.00
406,Stockholm,0,1,ARN,0.00
407,London Gatwick,1,3,LGW,0.00
411,Gibraltar,0,1,NULL,0.00
412,Houston,0,3,IAH,0.00
416,Ubon Ratchatani,0,1,UBP,0.00
417,Durban,0,3,DUR,0.00
421,Richards Bay SA,0,3,RCB,0.00
422,New York Newark,0,3,EWR,0.00
426,Cairo,0,1,CAI,0.00
427,Gaberone,0,2,NULL,0.00
431,Aswan,0,1,ASW,0.00
432,Gaberone,0,2,NULL,0.00
436,Luxor,0,1,LXR,0.00
437,Heathrow,1,6,LHR,0.00
441,Madrid,0,1,MAD,0.00
442,Quito,0,6,UIO,0.00
446,Guilin,0,1,KWL,0.00
447,Gatwick,1,6,LGW,0.00
451,Xian,0,1,SIA,0.00
452,Santiago,0,6,SCL,0.00
456,Aqaba,0,1,AQJ,0.00
457,Lima,0,6,LIM,0.00
461,Aqaba,0,1,AQJ,0.00
462,Amsterdam,0,6,AMS,0.00
466,Kota Kinabalu,0,1,BKI,0.00
467,Bogota,0,6,BOG,0.00
471,Kuala Lumpur,0,3,KUL,0.00
472,Asuncion,0,6,ASU,0.00
476,Ekaterinburg,0,1,SVX,0.00
477,Buenos Aires,0,6,EZE,0.00
481,Mataram,0,3,AMI,0.00
482,Rio de Janeiro,0,6,GIG,0.00
486,Amman,0,3,AMM,0.00
487,La Paz,0,6,LPB,0.00
491,Solo City,0,1,NULL,0.00
492,Caracas,0,6,CCS,0.00
496,Kota Bharu,0,1,KBR,0.00
497,Georgetown,0,6,GEO,0.00
501,Kuala Terengganu,0,1,   ,0.00
502,Cayenne,0,6,NULL,0.00
506,Nice,0,1,NULL,0.00
507,Montevideo,0,6,MVD,0.00
511,Nice,0,1,NULL,0.00
512,Paramaribo,0,6,NULL,0.00
516,,0,1,NULL,0.00
517,,0,6,NULL,0.00
521,Munich,0,1,MUC,0.00
522,Puerto Maldonado,0,6,PEM,0.00
526,Luton,0,1,LTN,0.00
527,Puerto Montt,0,6,PMC,0.00
531,Petropavlovsk-Kamchatsky,0,1,PKC,0.00
532,Bariloche,0,6,BRC,0.00
536,Aberdeen,1,1,ABZ,0.00
537,Atlanta,0,6,NULL,0.00
541,Skipol,0,1,AMS,0.00
542,Iguazu - Brazil,0,6,IGU,0.00
546,Zurich,0,1,ZRH,0.00
547,Sucre,0,6,SRE,0.00
551,San Francisco,0,1,SFO,0.00
552,Galapagos,0,6,GPS,0.00
556,Toronto,0,1,YTO,0.00
557,Windhoek,0,3,WDH,0.00
561,Cochin,0,1,COK,0.00
562,Frankfurt,0,3,FRA,0.00
566,Dubrovnik,0,1,NULL,0.00
567,Entebbe,0,3,EBB,0.00
571,Charles de Gaulle,0,1,CDG,0.00
572,Cordoba,0,6,COR,0.00
576,Aleppo,0,1,ALP,0.00
577,Mendoza,0,6,MDZ,0.00
582,Ushuaia,0,6,USH,0.00
587,Rio Gallegos,0,6,RGL,0.00
592,Calafate,0,6,FTE,0.00
597,Puerto Natales,0,6,NO ,0.00
607,Temuco,0,6,zco,0.00
612,Calama,0,6,CJC,0.00
617,Salta,0,6,SLA,0.00
622,Arequipa,0,6,AQP,0.00
627,Salvador,0,6,SSA,0.00
632,Madrid,0,6,MAD,0.00
637,Lisbon,0,6,LIS,0.00
642,New York,0,6,NYC,0.00
647,Sao Paulo,0,6,GRU,0.00
652,Los Roques,0,6,NULL,0.00
657,Puerto Ordaz,0,6,NULL,0.00
662,Canaima,0,6,NULL,0.00
667,Santa Elena,0,6,NULL,0.00
672,Porlamar,0,6,NULL,0.00
677,Carupano,0,6,NULL,0.00
682,Cumana,0,6,NULL,0.00
687,Juliaca,0,6,JUL,0.00
692,Cartagena,0,6,CTG,0.00
697,Providencia,0,6,NULL,0.00
702,San Andres,0,6,NULL,0.00
707,Easter Island,0,6,IPC,0.00
712,Punta Arenas,0,6,PUQ,0.00
717,Nairobi,0,3,NBO,0.00
722,Birmingham,1,6,BHX,0.00
727,Paris,0,2,PAR,0.00
732,Antanarivo,0,2,NULL,0.00
737,Ouagadougou,0,2,NULL,0.00
742,London City Airport,1,2,LCY,0.00
747,Charles de Gaulle,0,2,CDG,0.00
752,Southampton,0,2,SOU,0.00
757,Chiang Mai,0,1,CNX,0.00
762,London,1,6,LON,0.00
767,UK,1,6,NULL,0.00
772,Koh Samui,0,1,USM,0.00
777,Tel Aviv,0,1,TLV,0.00
782,Kunming,0,1,KMG,0.00
787,Cape Town,0,3,CPT,0.00
792,Maun,0,3,MUB,0.00
797,Recife,0,6,REC,0.00
802,Manaus,0,6,MAO,0.00
807,Fernando de Noronha,0,6,FEN,0.00
812,Brasilia,0,6,BSB,0.00
817,Concepcion,0,6,NULL,0.00
822,Miami,0,6,MIA,0.00
827,Damascus,0,1,DAM,0.00
832,Stansted,0,1,NO ,0.00
837,Malta,0,1,NULL,0.00
842,Cuzco,0,6,CUZ,0.00
847,Muscat,0,3,MCT,0.00
852,Abu Dhabi,0,3,AUH,0.00
857,Mara,0,2,NULL,0.00
862,Tabriz,0,1,TBZ,0.00
867,Mashad,0,1,MHD,0.00
872,Port Stanley,0,6,MPN,0.00
877,Wilson,0,2,NULL,0.00
882,Cairo,0,3,CAI,0.00
887,USA,0,6,NULL,0.00
892,Cuzco,0,3,CUZ,0.00
897,Puerto Maldonaldo,0,3,NULL,0.00
902,To be advised,0,3,NULL,0.00
907,To be advised,0,3,NULL,0.00
912,London,1,3,LON,0.00
917,San Martin de los Andes,0,6,CPC,0.00
922,Rabat,0,1,RBA,0.00
927,Reunion,0,2,NULL,0.00
932,Londolozi,0,2,NULL,0.00
937,Chiang Rai,0,1,CEI,0.00
942,Heathrow,0,3,LHR,0.00
947,Victoria Falls,0,3,VFA,0.00
952,Gatwick North Terminal,1,2,LGW,0.00
957,Gatwick South Terminal,1,2,LGW,0.00
962,Manchester,0,6,MAN,0.00
967,East Midlands,0,6,NULL,0.00
972,Newcastle,0,6,NCL,0.00
977,Bamako,0,2,BKO,0.00
982,Charles De Gaulle,0,3,NO ,0.00
987,Humberside,0,1,NULL,0.00
992,Auckland,0,1,AKL,0.00
997,Guayaquil,0,6,GYE,0.00
1002,Coca,0,6,NULL,0.00
1007,Iquitos,0,6,IQT,0.00
1012,Ouarzazate,0,2,NULL,0.00
1017,Cali,0,6,CLO,0.00
1022,Medellin,0,6,NULL,0.00
1027,Stansted,0,6,NO ,0.00
1032,Bridgetown,0,6,BGI,0.00
1037,Port of Spain,0,6,POS,0.00
1042,Tobago,0,6,TAB,0.00
1047,Jeki,0,2,NULL,0.00
1052,Frankfurt,0,6,FRA,0.00
1057,Madrid,0,3,MAD,0.00
1067,Cuenca,0,6,CUE,0.00
1072,Stansted,1,2,NO ,0.00
1077,Galapagos,0,3,GPS,0.00
1082,Dar Es Salaam,0,3,DAR,0.00
1087,Aruba,0,6,AUA,0.00
1092,Humberside,1,6,NULL,0.00
1097,Bristol,0,6,BRS,0.00
1102,Curação,0,3,NULL,0.00
1107,Osorno,0,6,NULL,0.00
1112,Seychelles,0,2,SEZ,0.00
1117,Teeside,1,1,NULL,0.00
1122,Beijing,0,3,PEK,0.00
1127,Chengdu,0,3,CTU,0.00
1132,Birmingham,0,3,BHX,0.00
1137,Newcastle,1,3,NCL,0.00
1142,Guayaquil,0,3,GYE,0.00
1147,Newark,0,3,NULL,0.00
1152,Bridgetown,0,3,BGI,0.00
1157,Georgetown,0,3,GEO,0.00
1162,Dublin,0,1,DUB,0.00
1167,Lago Agrio,0,3,NULL,0.00
1172,Barinas,0,6,NULL,0.00
1177,Kapawi,0,3,NULL,0.00
1182,Ireland,0,6,NULL,0.00
